pkMemberMembershipID,dDateEntered,dTimeEntered,fkEmployeeID,fkMemberID,tCycle,nCycleAmount,bVisitsRestriction,nVisitsAllowed,bDaysRestriction,tDaysAllowed,bTimesRestriction,tTimesAllowed,dStartDate,dEndDate,cMembershipPrice,cEnrollmentFee,tDiscount,tDiscountReason,cTotalCharged,bActive,nCierre,tRenew,bPaid,cSalesTax,tMembershipName,dFrozenDate
4,"03/09/26 00:00:00","12/30/99 09:02:41","1001","1003","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
5,"03/09/26 00:00:00","12/30/99 16:39:47","1001","1004","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",1,0.0000,"MENSUALIDAD",
6,"03/10/26 00:00:00","12/30/99 17:59:18","1001","1005","MONTHS",1,0,0,0,,0,,"03/10/26 00:00:00","04/10/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
7,"03/10/26 00:00:00","12/30/99 18:07:37","1001","1006","MONTHS",3,0,0,0,,0,,"03/10/26 00:00:00","06/10/26 00:00:00",2900.0000,400.0000,"-$0",,3300.0000,1,1,"0",0,0.0000,"TRIMESTRE",
8,"03/10/26 00:00:00","12/30/99 18:56:08","1001","1007","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
9,"03/10/26 00:00:00","12/30/99 18:59:54","1001","1008","MONTHS",1,0,0,0,,0,,"03/10/26 00:00:00","04/10/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
11,"03/10/26 00:00:00","12/30/99 19:10:20","1001","1010","MONTHS",1,0,0,0,,0,,"03/10/26 00:00:00","04/10/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
12,"03/10/26 00:00:00","12/30/99 19:16:37","1001","1009","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
13,"03/10/26 00:00:00","12/30/99 19:18:40","1001","1011","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
14,"03/10/26 00:00:00","12/30/99 19:21:17","1001","1012","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
15,"03/10/26 00:00:00","12/30/99 19:54:16","1001","1013","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
16,"03/10/26 00:00:00","12/30/99 19:58:11","1001","1014","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
17,"03/10/26 00:00:00","12/30/99 20:01:33","1001","1015","MONTHS",1,0,0,0,,0,,"03/10/26 00:00:00","04/10/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
18,"03/10/26 00:00:00","12/30/99 20:07:16","1001","1016","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
19,"03/10/26 00:00:00","12/30/99 20:13:29","1001","1017","MONTHS",1,0,0,0,,0,,"03/10/26 00:00:00","04/10/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
20,"03/10/26 00:00:00","12/30/99 20:17:09","1001","1018","MONTHS",1,0,0,0,,0,,"03/10/26 00:00:00","04/10/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
21,"03/10/26 00:00:00","12/30/99 20:21:24","1001","1019","MONTHS",1,0,0,0,,0,,"03/10/26 00:00:00","04/10/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
22,"03/10/26 00:00:00","12/30/99 20:47:35","1001","1020","MONTHS",1,0,0,0,,0,,"03/10/26 00:00:00","04/10/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
23,"03/10/26 00:00:00","12/30/99 20:49:40","1001","1021","MONTHS",1,0,0,0,,0,,"03/10/26 00:00:00","04/10/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
24,"03/10/26 00:00:00","12/30/99 20:55:35","1001","1022","MONTHS",1,0,0,0,,0,,"03/10/26 00:00:00","04/10/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
25,"03/11/26 00:00:00","12/30/99 05:55:00","1001","1024","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
26,"03/11/26 00:00:00","12/30/99 06:00:31","1001","1025","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
27,"03/11/26 00:00:00","12/30/99 06:24:02","1001","1026","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
28,"03/11/26 00:00:00","12/30/99 06:30:41","1001","1027","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
29,"03/11/26 00:00:00","12/30/99 06:59:45","1001","1028","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
30,"03/11/26 00:00:00","12/30/99 07:07:51","1001","1029","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
31,"03/11/26 00:00:00","12/30/99 07:09:37","1001","1030","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
32,"03/11/26 00:00:00","12/30/99 07:22:15","1001","1031","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
33,"03/11/26 00:00:00","12/30/99 08:04:14","1001","1033","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
34,"03/11/26 00:00:00","12/30/99 08:06:13","1001","1034","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
35,"03/11/26 00:00:00","12/30/99 08:10:02","1001","1035","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
36,"03/11/26 00:00:00","12/30/99 08:54:42","1001","1036","MONTHS",1,0,0,0,,0,,"03/11/26 00:00:00","04/11/26 00:00:00",980.0000,0.0000,"-$0",,980.0000,1,1,"0",0,0.0000,"PREVENTA 980",
37,"03/11/26 00:00:00","12/30/99 09:09:35","1001","1037","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
38,"03/11/26 00:00:00","12/30/99 09:11:10","1001","1038","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
39,"03/11/26 00:00:00","12/30/99 09:13:15","1001","1039","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
42,"03/12/26 00:00:00","12/30/99 06:24:58","1001","1040","MONTHS",1,0,0,0,,0,,"03/11/26 00:00:00","04/11/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
43,"03/12/26 00:00:00","12/30/99 06:28:58","1001","1041","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
44,"03/12/26 00:00:00","12/30/99 06:30:57","1001","1042","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
46,"03/12/26 00:00:00","12/30/99 07:14:21","1001","1043","MONTHS",1,0,0,0,,0,,"02/01/26 00:00:00","03/01/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,0,1,"0",0,0.0000,"MENSUALIDAD",
47,"03/12/26 00:00:00","12/30/99 18:20:43","1001","1044","MONTHS",1,0,0,0,,0,,"03/12/26 00:00:00","04/12/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
48,"03/12/26 00:00:00","12/30/99 18:39:45","1001","1045","MONTHS",1,0,0,0,,0,,"03/12/26 00:00:00","04/12/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
49,"03/12/26 00:00:00","12/30/99 18:58:29","1001","1046","MONTHS",3,0,0,0,,0,,"03/12/26 00:00:00","06/12/26 00:00:00",2900.0000,400.0000,"-$0",,3300.0000,1,1,"0",0,0.0000,"TRIMESTRE",
50,"03/12/26 00:00:00","12/30/99 19:00:48","1001","1047","MONTHS",1,0,0,0,,0,,"03/12/26 00:00:00","04/12/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
51,"03/12/26 00:00:00","12/30/99 19:03:47","1001","1048","MONTHS",1,0,0,0,,0,,"03/12/26 00:00:00","04/12/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
52,"03/12/26 00:00:00","12/30/99 19:18:30","1001","1049","MONTHS",1,0,0,0,,0,,"03/12/26 00:00:00","04/12/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
